feature_idx,sample_rank,array_idx,image_id,slice_nr,modality,slice_orientation
3632,1,108389,s1102,109,ct,x
3632,2,39278,s0477,148,ct,y
3632,3,71458,s0771,172,ct,x
3632,4,95419,s0992,154,ct,y
3632,5,113884,s1176,101,ct,x
1411,1,101854,s1046,315,ct,z
1411,2,134551,s0177,8,mri,z
1411,3,134116,s0128,37,mri,z
1411,4,87858,s0949,18,ct,z
1411,5,134498,s0153,67,mri,y
1304,1,118716,s1258,169,ct,y
1304,2,81038,s0865,55,ct,z
1304,3,59955,s0684,66,ct,y
1304,4,21120,s0209,294,ct,z
1304,5,24906,s0270,77,ct,x
279,1,39983,s0490,81,ct,y
279,2,57410,s0653,50,ct,z
279,3,77351,s0810,132,ct,y
279,4,79239,s0859,105,ct,y
279,5,12173,s0123,74,ct,y
157,1,99858,s1038,92,ct,x
157,2,62474,s0702,131,ct,x
157,3,45807,s0571,149,ct,x
157,4,19405,s0193,188,ct,x
157,5,67613,s0737,77,ct,x
65,1,61173,s0688,84,ct,x
65,2,27003,s0294,56,ct,x
65,3,34779,s0378,163,ct,z
65,4,62252,s0696,116,ct,z
65,5,99516,s1033,81,ct,y
426,1,136418,s0361,35,mri,x
426,2,114740,s1178,104,ct,y
426,3,32161,s0366,235,ct,y
426,4,137486,s0530,28,mri,z
426,5,136492,s0394,10,mri,x
1024,1,938,s0004,174,ct,x
1024,2,79982,s0860,170,ct,x
1024,3,93550,s0978,177,ct,x
1024,4,114767,s1178,131,ct,y
1024,5,12053,s0123,189,ct,x
1451,1,51013,s0606,56,ct,y
1451,2,123073,s1296,94,ct,y
1451,3,122538,s1295,30,ct,y
1451,4,84648,s0907,158,ct,y
1451,5,30839,s0358,110,ct,y
215,1,136947,s0481,71,mri,y
215,2,135647,s0295,21,mri,z
215,3,134544,s0177,1,mri,z
215,4,59082,s0680,42,ct,y
215,5,135061,s0249,10,mri,y
586,1,70348,s0754,200,ct,x
586,2,69821,s0747,82,ct,y
586,3,124337,s1307,99,ct,y
586,4,119121,s1272,44,ct,y
586,5,114796,s1178,160,ct,y
8060,1,135669,s0295,43,mri,z
8060,2,59906,s0684,17,ct,y
8060,3,136246,s0356,27,mri,z
8060,4,137463,s0530,5,mri,z
8060,5,135065,s0249,14,mri,y
1473,1,133948,s0080,5,mri,y
1473,2,14697,s0146,173,ct,x
1473,3,137504,s0538,4,mri,z
1473,4,135070,s0249,19,mri,y
1473,5,134526,s0153,95,mri,y
899,1,45014,s0542,160,ct,y
899,2,42916,s0525,195,ct,y
899,3,21936,s0233,28,ct,x
899,4,99906,s1038,140,ct,x
899,5,18987,s0188,149,ct,y
3062,1,99859,s1038,93,ct,x
3062,2,83487,s0889,126,ct,y
3062,3,82076,s0870,116,ct,y
3062,4,8421,s0067,87,ct,y
3062,5,55524,s0637,132,ct,y
1590,1,22517,s0240,79,ct,y
1590,2,42913,s0525,192,ct,y
1590,3,45490,s0563,45,ct,y
1590,4,124975,s1325,60,ct,y
1590,5,39969,s0490,67,ct,y
176,1,115650,s1196,125,ct,y
176,2,123128,s1296,149,ct,y
176,3,63430,s0715,17,ct,x
176,4,27009,s0294,62,ct,x
176,5,78934,s0843,75,ct,z
393,1,133747,s0064,2,mri,y
393,2,134562,s0177,19,mri,z
393,3,133976,s0082,13,mri,y
393,4,136251,s0356,32,mri,z
393,5,135157,s0272,11,mri,z
1325,1,57722,s0654,69,ct,y
1325,2,68842,s0740,146,ct,y
1325,3,90089,s0958,2,ct,y
1325,4,34565,s0378,130,ct,y
1325,5,27242,s0294,100,ct,y
543,1,56372,s0643,23,ct,z
543,2,134563,s0177,20,mri,z
543,3,116693,s1227,1,ct,z
543,4,62274,s0696,138,ct,z
543,5,135677,s0295,51,mri,z
1277,1,134621,s0200,36,mri,y
1277,2,92667,s0971,106,ct,y
1277,3,76387,s0806,46,ct,y
1277,4,135061,s0249,10,mri,y
1277,5,133704,s0056,15,mri,y
385,1,133485,s0015,60,mri,z
385,2,42388,s0521,31,ct,y
385,3,134142,s0128,63,mri,z
385,4,21156,s0209,330,ct,z
385,5,73808,s0782,212,ct,x
409,1,39990,s0490,88,ct,y
409,2,135062,s0249,11,mri,y
409,3,62008,s0696,76,ct,y
409,4,96097,s1003,42,ct,z
409,5,101846,s1046,307,ct,z
1775,1,93159,s0972,45,ct,y
1775,2,59909,s0684,20,ct,y
1775,3,121210,s1280,57,ct,y
1775,4,17476,s0165,79,ct,y
1775,5,116697,s1227,5,ct,z
1781,1,61874,s0696,136,ct,x
1781,2,134556,s0177,13,mri,z
1781,3,137463,s0530,5,mri,z
1781,4,99393,s1033,163,ct,x
1781,5,134678,s0201,45,mri,z
995,1,1899,s0006,133,ct,y
995,2,41044,s0509,86,ct,y
995,3,108588,s1102,114,ct,y
995,4,86926,s0937,116,ct,y
995,5,83421,s0889,60,ct,y
1308,1,80141,s0860,12,ct,y
1308,2,73852,s0782,22,ct,y
1308,3,111727,s1137,224,ct,x
1308,4,53763,s0621,69,ct,y
1308,5,123020,s1296,41,ct,y
317,1,130347,s1407,57,ct,z
317,2,57704,s0654,51,ct,y
317,3,24664,s0262,72,ct,y
317,4,45667,s0563,149,ct,z
317,5,37523,s0417,2,ct,z
329,1,108631,s1102,157,ct,y
329,2,99943,s1038,177,ct,x
329,3,112455,s1167,126,ct,y
329,4,126036,s1337,122,ct,x
329,5,79255,s0859,121,ct,y
942,1,12161,s0123,62,ct,y
942,2,70608,s0754,125,ct,y
942,3,61190,s0688,101,ct,x
942,4,81411,s0866,79,ct,y
942,5,3231,s0029,149,ct,x
281,1,109885,s1124,102,ct,x
281,2,81459,s0866,127,ct,y
281,3,37880,s0422,90,ct,y
281,4,12030,s0123,166,ct,x
281,5,67857,s0737,104,ct,y
225,1,3232,s0029,150,ct,x
225,2,871,s0004,107,ct,x
225,3,39946,s0490,44,ct,y
225,4,119801,s1276,121,ct,y
225,5,18318,s0178,106,ct,y
1565,1,137463,s0530,5,mri,z
1565,2,134169,s0128,90,mri,z
1565,3,136878,s0481,2,mri,y
1565,4,133948,s0080,5,mri,y
1565,5,136811,s0442,53,mri,x
501,1,83348,s0889,195,ct,x
501,2,840,s0004,76,ct,x
501,3,119591,s1276,134,ct,x
501,4,14766,s0146,2,ct,y
501,5,126036,s1337,122,ct,x
203,1,114810,s1178,174,ct,y
203,2,71921,s0771,185,ct,z
203,3,70371,s0754,223,ct,x
203,4,124402,s1307,164,ct,y
203,5,48332,s0587,80,ct,y
582,1,62080,s0696,148,ct,y
582,2,72665,s0773,144,ct,x
582,3,78092,s0820,36,ct,z
582,4,126291,s1337,186,ct,y
582,5,12764,s0138,84,ct,y
360,1,128944,s1370,140,ct,y
360,2,83495,s0889,134,ct,y
360,3,122408,s1295,106,ct,x
360,4,33211,s0368,89,ct,y
360,5,96597,s1004,163,ct,y
372,1,102566,s1053,78,ct,x
372,2,86937,s0937,127,ct,y
372,3,57218,s0653,5,ct,y
372,4,35724,s0392,70,ct,y
372,5,106811,s1083,15,ct,y
299,1,102442,s1050,147,ct,z
299,2,62201,s0696,65,ct,z
299,3,123063,s1296,84,ct,y
299,4,72410,s0772,88,ct,z
299,5,134186,s0139,11,mri,z
