k,reference_id,reference_slice,sparse_mean,sparse_std,sparse_min,sparse_max,dense_fp_mean,dense_fp_std,dense_fp_min,dense_fp_max
5,s0629,155,0.9967433214187622,0.0009210754651576281,0.9959068894386292,0.9984716176986694,0.9894744753837585,0.002357986057177186,0.9864106178283691,0.9921596050262451
10,s0629,155,0.9972132444381714,0.0008294603321701288,0.9959676861763,0.9984607696533203,0.9954602122306824,0.003936808090656996,0.987784743309021,0.9983502626419067
20,s0629,155,0.9980349540710449,0.0007068004924803972,0.9967600107192993,0.9987684488296509,0.9982364773750305,0.000412402005167678,0.997550904750824,0.9987684488296509
50,s0629,155,0.9981765747070312,0.00046765332808718085,0.9974679946899414,0.9987684488296509,0.9981744885444641,0.0004663027648348361,0.9974679946899414,0.9987684488296509
100,s0629,155,0.9981765747070312,0.00046765332808718085,0.9974679946899414,0.9987684488296509,0.9982911944389343,0.0003271225723437965,0.9978246092796326,0.9987684488296509
1,s0204,129,0.9972306489944458,0.0031953027937561274,0.9909060597419739,0.9992969632148743,0.8658778071403503,0.06619051843881607,0.7508216500282288,0.9517226219177246
2,s0204,129,0.9921294450759888,0.004480078816413879,0.9857224225997925,0.9991902709007263,0.9924427270889282,0.007214100565761328,0.9794130921363831,0.9989821910858154
3,s0204,129,0.9993520975112915,0.0002411863097222522,0.9990191459655762,0.9996609687805176,0.9974649548530579,0.00197894056327641,0.9936301708221436,0.9993425607681274
5,s0204,129,0.9993457794189453,0.000257648469414562,0.9989141225814819,0.9996609687805176,0.9978054761886597,0.001404566690325737,0.9960211515426636,0.9991183280944824
10,s0204,129,0.9994945526123047,8.58404891914688e-05,0.9993564486503601,0.999618649482727,0.9995062947273254,5.2841136493952945e-05,0.9994421601295471,0.9995806217193604
20,s0204,129,0.9995919466018677,6.587935786228627e-05,0.9994879961013794,0.9996832013130188,0.9994977712631226,0.00018529217049945146,0.9991552233695984,0.9996563196182251
50,s0204,129,0.9996232986450195,4.428439206094481e-05,0.9995490312576294,0.9996832013130188,0.9996582269668579,1.382421760354191e-05,0.9996427297592163,0.9996832013130188
100,s0204,129,0.999629020690918,3.218145138816908e-05,0.9995952844619751,0.9996832013130188,0.999646008014679,2.4127073629642837e-05,0.9996122121810913,0.9996832013130188
1,s1130,139,0.9933804273605347,0.007153094746172428,0.979446530342102,0.9987366795539856,0.8664523363113403,0.06524323672056198,0.7521058320999146,0.9516656994819641
